- Text database for game settings window.

schema: *key,text
nearDeathWarningInfo,                               빈사 상태시에 깜빡임/박동 화면 효과로 경고를 표시합니다.
alternateRandomEnemySelection,                      대체 무작위 적 배치
alternateRandomEnemySelectionInfo,                  던전의 무작위 적 종류를 더 다양하게 만듭니다.
advancedClimbing,                                   고급 등반 시스템
advancedClimbingInfo,                               벽등반시 모든 방향 & 등반시 점프와 점프해서 벽잡기 가능.
dungeonAmbientLightScale,                           던전 배경 조명
dungeonAmbientLightScaleInfo,                       던전 안의 기본 배경 조명 밝기
nightAmbientLightScale,                             야간 배경 조명
nightAmbientLightScaleInfo,                         실내와 야외 야간시 기본 배경 조명 밝기
playerTorchLightScale,                              플레이어 횃불 조명
playerTorchLightScaleInfo,                          플레이어 개인 조명의 밝기
playerTorchFromItems,                               아이템 기반 플레이 조명
playerTorchFromItemsInfo,                           횃불/촛불/랜턴 같은 인게임 물품으로 조명을 켤 수 있게 합니다.
combatVoices,                                       전투시 음성
combatVoicesInfo,                                   플레이어와 엔피시가 공격과 피격시 소리를 내게 됩니다.
enemyInfighting,                                    적 내부교전
enemyInfightingInfo,                                AI 캐릭터가 아군 관계가 아닐시 서로 싸우게 됩니다
enhancedCombatAI,                                   고급 전투 AI
enhancedCombatAIInfo,                               전투 AI에 오리지널 대거폴에 없던 여러가지 개선점을 적용합니다
allowMagicRepairs,                                  마법 물품 수리
allowMagicRepairsInfo,                              인챈트된 일상물품을 수리 가능하게 합니다

resolution,                                         해상도
resolutionInfo,                                     화면 해상도
fullscreen,                                         전체화면
fullscreenInfo,                                     전체화면 활성화
exclusiveFullscreen,                                독점 전체화면
exclusiveFullscreenInfo,                            독점 전체화면 활성화
runInBackground,                                    백그라운드 실행
runInBackgroundInfo,                                게임이 활성화 상태가 아니더라도 계속 실행
qualityLevel,                                       품질 수준
qualityLevelInfo,                                   일반 그래픽 수준
mainFilterMode,                                     메인 필터
mainFilterModeInfo,                                 게임 택스쳐 필터 선택
guiFilterMode,                                      GUI 필터
guiFilterModeInfo,                                  HUD 이미지 필터 선택
videoFilterMode,                                    비디오 필터
videoFilterModeInfo,                                무비 필터 선택
antiAliasingMethod,                                 안티-에일리어싱 방법
antiAliasingMethodInfo,                             안티-에일리어싱 방식 선택
ambientOcclusionIntensity,                          앰비언트 오큘루젼 강도
ambientOcclusionIntensityInfo,                      AO 후처리 효과 강도 선택
fovSlider,                                          시야각
fovSliderInfo,                                      한번에 볼 수 있는 시야의 각도 변경
terrainDistance,                                    지형 표시거리
terrainDistanceInfo,                                플레이어 위치에서 볼 수 있는 최대 지형 거리 변경
shadowResolutionMode,                               그림자 해상도
shadowResolutionModeInfo,                           그림자 품질
dungeonLightShadows,                                던전 조명 그림자
dungeonLightShadowsInfo,                            던전 조명에 표시되는 그림자
interiorLightShadows,                               실내 조명 그림자
interiorLightShadowsInfo,                           실내 조명에 표시되는 그림자
exteriorLightShadows,                               야외 조명 그림자
exteriorLightShadowsInfo,                           야외 조명에 표시되는 그림자
ambientLitInteriors,                                실내 조명 단순화
ambientLitInteriorsInfo,                            덜 복잡한 조명처리 방식을 사용해 실내 광원 성능을 높입니다.

- Configure Joystick Controls UI

rightClickString,                                   오른쪽-클릭
middleClickString,                                  가운데-클릭
leftClickString,                                    좌측-클릭
backString,                                         뒤
configureJoystickControls,                          조이스틱 조작 설정
continue,                                           계속
enableController,                                   컨트롤러 활성화
invert,                                             반전
lookSensitivity,                                    시야 조작 민감도
uiMouseSensitivity,                                 UI 마우스 민감도
maximumMovementThreshold,                           최대 이동 임계치
deadzone,                                           데드존
movementH,                                          수평 이동.
movementV,                                          수직 이동.
cameraH,                                            카메라 수평.
cameraV,                                            카메라 수직.
primary,                                            기본
secondary,                                          부가


- Options shared among sliders. Missing keys use default text.

Off,                                                끄기
On,                                                 켜기
HQ,                                                 고품질

Low,                                                낮음
Medium,                                             중간
High,                                               높음
Very High,                                          매우 높음

Low (25%),                                          낮음 (25%)
Medium (50%),                                       중간 (50%)
High (75%),                                         높음 (75%)
V. High(100%),                                      최고(100%)

Point,                                              포인트
Bilinear,                                           이중선형
Trilinear,                                          삼중선형

none,                                               없음
classic,                                            클래식
climate,                                            기후
climateOnly,                                        기후만
random,                                             랜덤
randomOnly,                                         랜덤만
minimal,                                            미니멀
large,                                              대형
colour,                                             색상
monochrome,                                         흑백

reset,                                              초기화
