Key,Value
11,"모르겠습니다.[/record]솔직히 말할게 없습니다.[/record]아는게 정말 없습니다...[/record]다른 사람한테 물어보시죠.[/record]모릅니다.[/end]"
12,"주문책에 아무 주문도 없습니다.[/end]"
13,"이 이름을 가진 곳이[/center]이 지도에 없습니다.[/center][/end]"
14,"보너스 점수를 모두 분배해야 합니다.[/end]"
15,"도시 경비병에 투항합니까?[/end]"
16,"너무 기간이 깁니다.[/end]"
17,"도시 안 혹은 근처에서 노숙은 불법입니다.[/end]"
18,"건강한 상태입니다.[/end]"
19,"소속된 곳이 없습니다.[/end]"
20,"아주라의 별에 영혼이 비어 있습니다.[/end]"
21,"50% 이상 기술을 훈련 할 수 없습니다.[/end]"
22,"현재 위치는 %cn 입니다.[/center]%dat %tim 입니다.[/center]%crn 의 사법권에서,[/center]%ltn 상태 입니다.[/center][/end]"
23,"훈련을 더 받으려면[/center]적어도 12시간은 더 있어야 합니다.[/center][/end]"
24,"이건 수리할 필요가 없습니다.[/center][/end]"
25,"%gii 골드가 있습니다.[/center]얼마를 옮깁니까?[/center][/center] [/input][/end]"
26,"한번에 99시간 이상[/center]휴식을 취할 수 없습니다.[/center][/end]"
27,"한번에 3시간 이상[/center]대기 할 수 없습니다.[/center][/end]"
28,"%hnt-놑9243[/end]"
29,"%it - 부서졌습니다.[/center][/end]"
30,"감염된 질병이 없습니다.[/center][/end]"
31,"다음 목적지로 여행 하시겠습니까?[/center]%tcn[/center][/end]"
32,"속박된 영혼이 해방되었습니다.[/center][/end]"
33,"마법 물품을 수리할 수 없습니다.[/center][/end]"
34,"가지고 있는 물약 재료가 없습니다.[/center][/end]"
35,"평판이 변경 되었습니다:[/left][/left]평민: [/pos:x=70,y=0]%r1[/left]상인: [/pos:x=70,y=0]%r2[/left]학자: [/pos:x=70,y=0]%r3[/left]귀족: [/pos:x=70,y=0]%r4[/left]무법자: [/pos:x=70,y=0]%r5[/left][/end]"
36,"흡혈귀로서 살해를 통해 욕구를 충족해야 할 시간이 오래 지나버렸습니다.[/center]이제 힘을 회복할 수 없습니다.[/center][/end]"
37,"사유재산 같습니다.[/center]정말로 열어보시겠습니까?[/center][/end]"
38,"마차만 확인하고,[/center]%cn 안에 남아있습니까?[/center][/end]"
100,"마녀 두창에 감염되었습니다.[/center]근력, 체력, 생명력이,[/center]치료 전까지 점점 감소하며[/center]치료하지 않으면 사망합니다.[/center][/end]"
101,"역병에 감염되었습니다.[/center]아주 심각한, 치명적 질병입니다.[/center]몸에 매우 빠른 속도로 퍼지며,[/center]감염 후 치료하지 않으면,[/center]몇일 밖에 살 수 없습니다.[/center][/center][/end]"
102,"황열에 감염되었습니다.[/center]체력, 의지, 생명력이[/center]치료 전까지 매일 감소하며[/center]치료하지 않으면 사망합니다.[/center][/end]"
103,"장 부패병에 감염되었습니다.[/center]치료하지 않으면, 영구히 지속됩니다.[/center]증상은 매일 약간씩 생명력이[/center]감소하는 것입니다.[/center][/end]"
104,"폐결핵에 감염되었습니다.[/center]의지, 민첩, 근력이 느리게 감소하며,[/center]치료하지 않으면[/center]사망합니다.[/center][/end]"
105,"뇌염에 감염되었습니다.[/center]의지력, 생명력, 심지어 매력까지[/center]하루하루 빠져나갑니다.[/center]치료하지 않으면 죽음을 맞게 됩니다.[/center][/center][/end]"
106,"늪지병에 감염되었습니다.[/center]의지력, 민첩, 근력이,[/center]매일 감소하며, 치료하지 않으면[/center]죽게 됩니다.[/center][/end]"
107,"칼리론의 저주에 감염되었습니다.[/center]감염된 일부는 1~2주 정도면[/center]스스로 회복하기도 하지만, 근력,[/center]속도, 민첩이 감소됩니다.[/center]빨리 치료하는 것이 최선입니다.[/center][/end]"
108,"콜레라에 감염되었습니다.[/center]탐리엘에서 가장 위험한[/center]질병중 하나이며 치료를 받지 못하면,[/center]매우, 아주 빨리 죽게 됩니다.[/center][/end]"
109,"문둥병에 감염되었습니다.[/center]치료 받지 않으면,[/center]매일 조금씩 몸이 뭉그러집니다.[/center][/end]"
110,"상처 부패병에 감염되었습니다.[/center]근력, 체력, 생명력이 아주 느리게[/center]치료하기 전까지 약화됩니다.[/center][/center][/end]"
111,"적사병에 감염되었습니다.[/center]감염자의 체력과 매력을 매우 빨리[/center]무력하게 만드는 매우 심각한 병이며,[/center]치료받지 않으면 죽게 됩니다.[/center][/center][/center][/end]"
112,"혈액 부패병에 감염되었습니다.[/center]체력, 매력, 의지력에 몇일 혹은 몇주에[/center]걸쳐 치료되기 전까지 부정적인 영향을 줍니다.[/center]치료를 받지 못하면 사망할 수도 있습니다.[/center][/center][/center][/center][/end]"
113,"장티푸스에 감염되었습니다.[/center]위험한 질병으로 감염되면[/center]지능, 체력, 생명력에 영향을 주며[/center]치료를 받거나 죽기전까지[/center]증상이 계속 유지 됩니다.[/center][/end]"
114,"치매병에 감염되었습니다.[/center]감염자의 지능, 의지, 매력까지[/center]좀먹는 무서운 질병으로,[/center]치료되거나 죽기 전까지 낫지 않습니다.[/center][/center][/center][/end]"
115,"시간 질병에 감염되었습니다.[/center]마법적인 질병으로[/center]지능과 매지카 보유량이 매일 감소하게 됩니다.[/center]치료를 받지 않으면 죽게됩니다.[/center][/center][/end]"
116,"마법사열에 감염되었습니다.[/center]약간 아픈 정도일때도 있지만,[/center]극히 위험한 마법적인 질병이 되는 경우도[/center]있습니다. 감염된 일부는 걸린 줄 도 모르고[/center]지나가는 경우도 있지만 일부는 백치가 되는[/center]경우도 있습니다.[/center]내재 매지카량과 지능이 매일 흘러나가듯[/center]감소하며, 이는 3주 가량 지속됩니다.[/center][/center][/end]"
117,"중독되었습니다.[/center][/end]"
200,"Why did the %ra put the letters 'T.G.I.F.' on his boots? To remind himself - Toes Go In First![/record] Most %ra family trees don't fork![/record] What do a %ra and a bottle of port have in common? They're both empty from the neck up![/record] You know, you might be a %ra if you have grease under your toenails![/record] How do you get a %ra's eyes to sparkle? Put a torch in his ear![/record] You know, you might be a %ra if it's impossible to see food stains on your armor![/record] What did the %ra girl say after someone blew in her ear? 'Thanks for the refill!'[/record] What do you call a %ra with half a brain? Gifted![/record] Why do %ra women wear undergarments? To keep their ankles warm![/record] How do you make a %ra laugh on Morndas? Tell him a joke on Fredas![/record] You know, it only takes one drink to get a %ra drunk. I can't remember if it's the thirteenth or the fourteenth.[/record] What do you call a basement with more than one %ra? A WHINE cellar![/record] Over at the %nt, spitting will cost you a copper piece. But you can throw up for free![/record] What do a smart %ra and an orcoblin have in common? They're both extinct![/record] You know, lots of people say that %ra kids procrastinate too much. Well, just you wait![/record] What is a %ra doing when he holds his hands tight over his ears? Trying to hold a thought![/record] How can you tell if a %ra is lying? His lips are moving![/record] What do you say to a %ra woman to convince her to go to bed with you? Have another ale![/record] Why is it %cn has the most %ra adventurers, and %cn2 has the most goblins? %cn2 had the first choice![/record] What is the first thing a %ra woman does in the morning? Walk home![/record] What did the %ra woman say after she was told she was pregnant? 'Is it mine?'![/record] What a %ra lacks in intelligence, he makes up for in stupidity.[/record] I won't eat anything that has intelligent life, but I will happily eat a politician or a %ra.[/end]"
201,"By Thorig's Beard[/record] By Olfor's Hammer[/record] By the White Wolf[/record] By the Frozen Wastes[/record] By the Hoarfather[/record] Mother of the Ice[/record] Frostfire[/record] By the Cliffs of Solitude[/record] By the Northern Sea[/record] By the Beard of Thorig[/end]"
202,"By the Rat-god[/record] Whore of Alizahad[/record] Dust of Orcrest[/record] By the Sands of Elsweyr[/record] By the Blessed Water[/record] By the Hand of Ibrahad[/record] Desert Sun[/record] By the Dry Heart[/record] By the Water of Life[/record] Devil of the Sands[/end]"
203,"By the Dragon's Teeth[/record] Dragon's Teeth[/record] Cursed Darvak[/record] By My Father's Name[/record] By Rourken[/record] By the Great Hammer[/record] By the Dwarf-King[/record] Beard of the Dwarf-King[/record] By the Guardian's Blood[/record] By the First Wyrm[/record] Spirit Sword[/record] By the Blade[/record] By Divad[/record] By Katrica[/record] By The Maiden[/record] By Frandar[/record] Stendarr Preserve Us[/record] By The Sun[/end]"
204,"By Starfall's Waters[/record] Bless My Lord[/record] By the Crypt[/record] Death Be Damned[/record] By My Lady[/record] By the Mists[/record] By the Wolf[/record] By the Dark Lord[/record] Spirits of High Rock[/record] By the ArchDruid[/record] By Pelagius[/record] Madness[/record] By the Dragon[/record] Damn the Dragon[/end]"
205,"Swamp Devil[/record] Mire of Murkwood[/record] By the Gods[/record] By the Throne of Aphicles[/record] By the Blades of Fate[/record] By the Lonely One[/record] Host of Stormhold[/record] By the Swamp Spirit[/record] By the Mother-goddess[/record] Bogfire[/end]"
206,"By the Elden Grove[/record] By the Timber Spirits[/record] By the Lore of Wood[/record] By Mistria's Curse[/record] Spirits of the Wood[/record] Faeries of the Grove[/record] By Caliron's Heart[/record] By the Root[/record] Fire of Eldenroot[/record] By the Fire[/end]"
207,"By the Highest One[/record] By the White Crystal[/record] By the Wood of Elborn[/record] By the Blue Divide[/record] Faerielight[/record] By the Otherworld[/record] First Spirit of Tamriel[/record] Blade of Cassimoran[/record] Crystals of Sumurset[/record] By the First Spirit[/end]"
208,"By the Black Isle[/record] By the Dark Ones[/record] By the Fires of Dagoth-Ur[/record] By the Mad Queen[/record] By the Black Maw[/record] Dark Goddess Protect Us[/record] By the Night[/record] Soul of the Black Knight[/record] By the Soulless One[/record] Fireblood[/end]"
250,"[/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %sub by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] The %sub by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %adj by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %adj %sub by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %pp1 %sub by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %pp1 %adj %sub by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %sub %pp2 by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %adj %sub %pp2 by %an[/record] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] [/left] %pp1 %adj %sub %pp2 by %an[/end]"
255,"여보게 난 곳이 어디요?[/end]"
256,"누군가 외쳤다, ""들어오십시오.""[/record]""어서오세요""[/record]짜증이 난 목소리로 외치는 소리가 들렸다, ""장사 합니다!""[/record]누군가 ""들어오세요"" 하는 소리를 들었다.[/record]기쁜 목소리로 ""제 집에 오신걸 환영합니다."" 라는 소리를 들었다.[/record]외치는 목소리로 ""들어와도 됩니다""라는 소리를 들었다.[/end]"
260,"""이 누추한 가게에 와주셔서 감사합니다.[/center]%pcn. 제 굶주린 가족을 먹여 살리려면[/center]이 두배는 받아야 하지만서도, 그래도[/center]%a 골드에 넘겨드리도록 하겠습니다.""[/center][/record]""정말 흥정실력이 흉악하십니다, %pct.[/center]원래 이 것보다 더 받아야 하지만, 손님[/center]한테만 이 가격으로 거래하도록 하겠습니다.[/center]%a 골드면 넘겨 드리겠습니다.""[/center][/center][/record]""%pcf 분, 저는 누구한테도, 제 가까운 가족[/center]혹은 제일 친한 친구한테도 이런[/center]%a 골드 같은 가격은 주지 않습니다.[/center]손님 한테만 이 가격에 드리지요.""[/center][/center][/record]""제가 시장가를 잘 아는데 이건 정상 가격보다[/center]정말 싼겁니다. 어떻게 생각해보면 가끔은,[/center]이득을 보는게 중요하지 않을때가 있지요.[/center]손님께는 제가 손해를 감수하도록 하겠습니다.[/center]%a 골드, %pcf 분, 이것만 내시면 됩니다.""[/center][/center][/end]"
261,"""이곳 %cpn 은,[/center]%cn 에서 가장 싼 곳입니다.[/center]흥정 하시려는게 끝이 안보이지만[/center]최대한 깎아서 %a 골드에 드리겠습니다.""[/center][/center][/record]""손님, 정말 끈질기게 흥정하시는군요.[/center]이제 끝을 냅시다. 원래 이보다는 더 받지만,[/center]손님께는 특별히 %a 골드에 모시겠습니다.[/center]정말 이 정도면 푼돈이죠.""[/center][/center][/end]"
262,"""흥정은 이제 그만하시죠.[/center]%a 골드.[/center]하던지 말던지 마음대로 하시오.""[/record]""%a 골드.[/center]맞춰준 값이요.""[/center][/record]긴 흥정의 시간후...[/center]""%a 골드로 하시죠. 더이상 안됩니다.""[/center][/end]"
263,"""이 끝없는 흥정은 이정도로 합시다.[/center]정말 급하신가 봅니다.[/center]내가 보통 이보다는 적게 주는데,[/center]특별히 %a 골드로 합시다.""[/center][/record]""자, 내가 손해 안보는 선에서[/center]최대한 많이 주려고 하는 겁니다.[/center]%a 골드 어떻습니까. 이 정도면 댁 친구들한테[/center]가게 털어먹었다고 떠들어도 될거요.""[/center][/record]""내 가족과 가장 친한 친구들한테만 주는 가격인데[/center]시장가격이야 이것보다는 훨신 낮지만,[/center]이 정도면 될 것 같은데[/center]%a 골드요.""[/center][/record]""물건 괜찮군, 괜찮아. 보통 이것보다는[/center]적게 주지만, 댁한텐 특별히 %a 골드로 하십시다.[/center]더이상 흥정할 수 없는 최선의 가격이요.[/center][/end]"
264,"""어디 다른 가게에서 %a 골드[/center]이상 받을 수 있을지 모르겠습니다만,[/center]이 정도도 좋은 가격이고, 더이상 깍아 드릴 수 없습니다.""[/center][/record]""%a 골드 드릴 수 있겠습니다.[/center]누구 다른 사람이 더 줄 수 있다고 하면,[/center]거기로 가시는게 좋겠군요.[/center]%a 골드가 제쪽에선 최선입니다.""[/center][/record]""이런 물건은 그닥 잘 팔리진 않지만,[/center]팔 수 는 있습니다. %a 골드 드리지요.[/center]이정도면 완전히 공정한 가격입니다.""[/center][/record]""예, 맞습니다. 아무리 봐도 좋은 물건 입니다.[/center]정상 가격에서 약간 더 드릴 수 있겠습니다.[/center]%a 골드""[/center][/end]"
265,"""댁한테 볼 시간 없습니다. 이런 쓰레기는[/center]%a 밖에 못줍니다.""[/record]""%a 골드다 애송이. 팔던지 말던지.""[/center][/record]""어줍잖은 흥정할 생각 마라, 아가야.[/center]%a 골드 주마, 이게 최고가니까[/center]더이상 흥정할 생각 하지마.""[/center][/record]""자, %ra. 그쪽이나 나나 이게 %a 골드 이상은[/center]못 받는다는거 알고 있잖습니까?[/center]더 이상 아닌 척은 하지 맙시다.[/center]물론, 동의 안해도 상관은 없지만, 난 이렇게 밖에 못줍니다.""[/center][/end]"
266,"문 안으로 들어서자 좋은 향 냄새와 부드러운[/center]음악에 몸의 긴장이 풀립니다. 가게 안의 물품들은[/center]세심하게 배치되어 있으며,[/center]그 어떤 물건도 흠잡을 곳이 없어 보입니다.[/center][/end]"
267,"이 상점은 다른 곳 보다 물건이 잘 갖춰져 있습니다.[/center]상품들이 매대에 가지런히 놓여있습니다.[/center]왕실에 진상될 정도는 아니지만,[/center]모두 잘만들어진 물건입니다.[/center][/end]"
268,"가게가 실용적이고 직관적으로 배치되어 있습니다. 물건 모두가 쓸만한 품질인 것 같습니다.[/center][/end]"
269,"폐 목재로 적당히 만든 적당히 견고해 보이는 매데에 물건이 놓여 있습니다. 상품이 괜찮고 멀쩡해 보이지만, 고만 고만 합니다.[/center][/end]"
270,"오래된 유물 수준들이 되는대로 널부러져 있습니다. 물건들이 죄다 금이 가있거나 조잡하게 만들어져 있습니다. 쥐 한마리가 당신의 발을 넘어 옆에 있는 자루로 숨습니다.[/center][/end]"
282,"축하합니다 %cn 에 위치한[/center]아름다운 집을 구매 했습니다.[/center][/end]"
283,"축하합니다 일리악 만의 어디로든[/center]타고 갈 수 있는 튼튼한 배를 구매 했습니다.[/center][/end]"
284,"이미 배를 소유하고 있습니다.[/center]다른 배를 구매하려면 먼저 기존의 배를 팔아야 합니다.[/center][/end]"
285,"여긴 항구 도시가 아닙니다, %pcn.[/center]여기엔 팔 수 있는 배가 없습니다.[/center][/end]"
286,"이미 집을 소유하고 있습니다.[/center]다른 집을 구매하려면 먼저 기존의 집을 팔아야 합니다.[/center][/end]"
287,"현재 집 매물이 없는 상태입니다.[/center][/end]"
288,"%pcn, 본점의 기존 대출을[/center]부도처리 하신 상태입니다. 본점에서는[/center]이제 어떠한 상황에서도 대출을 받을 수 없습니다.[/center]아니면 %reg 지역이 아닌 다른 지역의 은행으로 가서[/center]사기 대출을 해보시던지요.[/center][/center][/end]"
289,"이미 본점에 기존 대출이 있는 상태입니다.[/center]다른 대출을 받으려면 대출을 완전히 상환 해야합니다.[/center][/center][/end]"
290,"정중히 사과 드립니다만, 고객께선[/center]계좌에 그만한 금액이 없으십니다.[/center][/end]"
291,"현재 보유하신 모든 수표를[/left]입금 하시려는 것이 맞습니까?[/end]"
292,"계좌에 잔액이 부족합니다.[/center]수표 인출을 하려면 액면 금액에 추가로[/center]1 퍼센트의 수수료가 더 있어야 합니다.[/center][/end]"
293,"본점에선 100 골드 미만의 금액에 대해선[/center]수표 발행을 하고 있지 않습니다.[/center][/end]"
294,"정말 감사하지만, 초과 상환은[/center]받지 않습니다. 여기 남은 잔액 입니다.[/center]대출은 완전히 상환되었습니다.[/center][/end]"
295,"죄송하지만, 고객님의 평판으로는[/center]그정도의 골드는 대출해 드릴 수 없습니다.[/center]%ml 골드가 대출 한도입니다.[/center][/end]"
296,"100 골드 미만의 대출은 해드릴 수 없습니다.[/center][/center][/end]"
297,"%reg 은행의 수배 현상금을 보고 왔다[/center][/center][/end]"
298,"본 은행에서 귀하의 주택을 넉넉한 금액인[/center]%a 골드에 매입하겠습니다.[/center]주택 안에 있는 모든 물품은 은행에 귀속됩니다.[/center]소유권 이전에 서명하실 준비가 되셨는지요?[/center][/center][/end]"
299,"고객님의 배는 %a 골드의 가치가 있습니다.[/center]거래 후 배 안의 모든 물건이 은행의 소유가[/center]되는 점을 주의해 주십시오.[/center]배를 판매 하시겠습니까?[/center][/end]"
300,"주 기술 셋, 부 기술 셋, 보조 기술 여섯[/center]을 선택해야만 진행 할 수 있습니다.[/center][/end]"
301,"직업의 이름을 정해야 진행 할 수 있습니다.[/center][/end]"
302,"능력치 보너스 포인트가 0이 되어야 진행 할 수 있습니다.[/center][/end]"
303,"평판 총합이 0이 되어야 진행 할 수 있습니다.[/center][/end]"
304,"더이상 장점을 선택할 수 없습니다.[/center][/end]"
305,"더이상 단점을 선택할 수 없습니다.[/center][/end]"
306,"레벨업 난이도 단검이 붉은 부분에 들어가면[/center]안됩니다. 장점을 더 선택해서 위로 올리거나[/center]단점을 선택해서 아래로 내리십시오.[/center][/end]"
307,"플레이어 반응속도는 게임의 전체적인 속도를 결정하게 됩니다.[/center] [/center]매우 빠른-VERY HIGH, 반응 속도를 선택하면[/center]괴물이 더 빠르게, 이동하고 공격하게 되며,[/center]그에 맞춰 플레이어도 빨리 컨트롤해야 합니다.[/center] [/center]매우 느린-VERY LOW, 반응 속도를 선택하면[/center]괴물도 더 느리게, 이동하고 공격하게 되며,[/center]더 조심스럽게 생각할 수 있게 됩니다.[/center] [/center]느린 반응속도를 선택하면 캐릭터 레벨업이 느려지며 빠른 반응속도에는 빨라집니다.[/center][/end]"
349,"대기 시간이 다 끝났습니다.[/center][/end]"
350,"회복 되었습니다.[/end]"
351,"휴식을 취할 필요가 없습니다.[/end]"
352,"몇시간 동안 쉽니까?[/end]"
353,"잠에서 깼습니다.[/end]"
354,"주변에 적이 있습니다.[/end]"
355,"지금은 잠을 잘 수 없습니다.[/end]"
360,"%pcn. 당신에 대해선 익히 알고 있습니다.[/center]본점의 자매 은행에서 빌린 대출을 부도내셨으니,[/center]이 돈은 악성 부채를 상환하는데 쓰도록[/center]하겠습니다.[/center][/end]"
361,"This demo allows you access to this guild[/center] function. Normally you would have to wait[/center] until you reached a higher rank in the[/center] guild before being allowed to use it.[/center][/end]"
362,"Daedra summoning is not available in[/center] the demo version of Daggerfall.[/center][/end]"
363,"In the full version of Daggerfall, you[/center] would have just received a skill increase.[/center] However, in the demo version, your skills[/center] are not allowed to exceed a score of 40.[/center][/end]"
364,"The time limit for the Daggerfall demo has[/center] expired. You can find Daggerfall at your[/center] local software store.[/center][/end]"
400,"The ChildGard feature prevents[/center] this quest from running at this time.[/center][/end]"
401,"죽음이 항상 영원한 것만은 아니다. 누군가에겐 그저 기다리는 시간일뿐.[/center]이제는 그대가 기다릴 시간이다.[/center]기다린다면 모두 알게 되리라...[/center][/end]"
402,"제가 바로 첩보장입니다.[/center]일리악 만에서 일어나는 모든 일을 알고 있습니다.[/center]다른 자들은 소문을 알려 줄 수 있을지 모르나,[/center]제 소문은 소문이 아닙니다..[/center][/end]"
403,"캐릭터의 능력치를 원래 수치로[/center]리셋 하시겠습니까?[/center][/end]"
454,"골드가 충분하지 않습니다.[/end]"
460,"%pcn, 주택을 지급받을 수 없습니다.[/center]길드 최고위 인원만이 집을 지급 받습니다.[/center][/center][/end]"
461,"이미 현재 직위에 따라 갑옷을[/center]이미 지급 받았습니다. 조직내에서[/center]더 높은 지위를 얻으면 갑옷의[/center]다른 부위를 드리겠습니다.[/center][/end]"
462,"%pcn 내가 꽤 괜찮은 물건을 봐뒀지[/center]위치는 지도에 표시해두겠네.[/center][/end]"
463,"갑옷 한 부위를 드리겠습니다.[/center][/end]"
465,"매지카가 낮은 상태군요. 소서러들은[/center]이런 상태를 정말 조심해야 합니다.[/center]자, 다시 충전시켜 드리겠습니다.[/center][/record]소서러들의 매지카를 재충전해주는건[/center]길드의 오랜 관습입니다.[/center][/record]흐으음. 이러면 안되지요.[/center]길드 소서러가 매지카가 적은 상태로 돌아다니다니.[/center]바로 재충전 시켜 드리도록 하겠습니다.[/center][/end]"
475,"대거폴 성채.[/end]"
476,"웨이레스트 성채.[/end]"
477,"센티넬 성채.[/end]"
480,"오늘은 소환이 없을 것이오.[/center]어떤 날짜에 소환이 가능한지 개인적으로[/center]어느정도 연구를 해볼 것을 추천하오.[/center][/center][/record]오늘은 소환을 할 수 없소.[/center]길드 도서관을 확인해 보는 것이 좋을 것이오.[/center]그곳에 데이드라 소환에 관한 책이 몇권 있고,[/center]소환에 적합한 일자가 적힌 책도 있소.[/center][/center][/end]"
481,"오늘은 %dat 이며,[/center]%dae 의 소환이 가능한 날이오.[/center]%pcn, 생명과 그 영혼의 위험을 감수 하고[/center]이곳 넌으로 %dae 의 소환을 행하겠소?[/center][/end]"
482,"그대는 이미 %dae 소환을 행했지.[/center]오직 어리석은 자 만이 %dae 의 재회를 원하지.[/center]돌아가시오.[/center][/end]"
484,"%dae 께서 오늘밤 우리 세계로의 강림을 거부하셨소.[/center]데이드라와의 대화를 원한다면 다른 날 돌아오시오.[/center][/center][/end]"
499,"양피지 조각에 %map 의[/center]위치가 적혀 있습니다. 지도에 옮겨 적었습니다.[/center][/record]고급 양피지에 %map 의[/center]비밀에 싸였던 위치가 자세히 그려져 있습니다. 위치를 기록했습니다.[/center][/record]갓 그려진 지도에 %map 의[/center]오랜기간 잊혀졌던 위치가 표기되어 있습니다. 배껴 적었습니다.[/center][/end]"
500,"발에 조각난 사기조각이 밟힙니다.[/record]악취가 납니다.[/record]먼 곳에서 이세상 것이 아닌 듯한 고통의 신음이 들립니다.[/end]"
501,"오크의 흔적을 찾았습니다.[/record]오크 흔적이 땅을 뒤덮고 있습니다.[/record]오크 문자 처럼 생긴 글자가 보입니다.[/end]"
502,"이곳은 사람이 살지 않는 것 같습니다.[/record]많은 발자국이 있는 길을 마주쳤습니다.[/record]최근에 말이 이 길을 지나간 적이 있습니다.[/end]"
503,"부서진 수갑이 발에 걸렸습니다.[/record]멀리서 연기가 나는 것 같습니다.[/record]벨소리가 멀리서 들립니다.[/end]"
504,"대리석 벽돌이 널려 있습니다.[/record]석조 원형 기둥을 지나쳤습니다.[/record]조각난 석상이 바닥에 있습니다.[/end]"
505,"사방에 흙더미가 있습니다.[/record]바닥에 깊게 파인 바퀴 자국이 있습니다.[/record]큰 구덩이를 돌아서 지나쳤습니다.[/end]"
507,"A rune is scratched in the dirt.[/record] You feel a vague sense of unease.[/record] You see movement in the underbrush.[/end]"
508,"A strange silence envelops you.[/record] A flock of ravens passes overhead.[/record] Dry bones are littered everywhere.[/end]"
509,"You notice an acrid odor.[/record] Your eyes suddenly sting.[/record] The ground here vibrates faintly.[/end]"
510,"Harpy droppings foul the ground.[/record] The scent of carrion hangs in the air.[/record] Large feathers lie scattered about.[/end]"
511,"You pass a low stone wall.[/record] Paving stones ring underfoot.[/record] Vines cover piles of rubble.[/end]"
512,"You brush aside huge cobwebs.[/record] Spider webs hang from the trees.[/record] Hmm. No mosquitos.[/end]"
513,"Huge footprints cross your path.[/record] Smoke rises in the distance.[/record] Gnawed bones litter the ground.[/end]"
514,"Scorched bones are everywhere.[/record] The trees here are charred by fire.[/record] The air seems warmer here.[/end]"
515,"You smell woodsmoke.[/record] Someone's been this way recently.[/record] A horse neighs in the distance.[/end]"
516,"Stone outcroppings dot the area.[/record] You pass several lava boulders.[/record] Everything here is covered with ash.[/end]"
517,"Something's been digging in the sand.[/record] Those look like scorpion tracks.[/record] What's that rustling sound?[/end]"
