Key,Value
spellResistance,주문 저항
teleport,텔레포트
transfer,Transfer
waterBreathing,수중 호흡
waterWalking,수면 보행
fire,화염
frost,냉기
magicka,매지카
poison,독기
shock,전기
enemy,적
magic,마법
treasure,보물
fatigue,지구력
health,생명력
spellPoints,주문점수
disease,질병
paralyzation,마비
animal,동물
normal,보통
TRUE,유지
noName,<no-name>
youDontHaveTheSpellPoints,주문점수가 없습니다.
youAreSilenced,You are silenced.
youAreParalyzed,몸이 마비되었습니다.
youFeelDrained,You feel drained.
youAreFortified,You are fortified.
youAreInvisible,몸이 투명해졌습니다.
youAreLevitating,몸이 떠오릅니다.
youAreRegenerating,몸이 재생합니다.
youAreBlending,You are blending.
youAreAShade,You are a shade.
slowFallActive,낙하 감속 활성화
saveVersusSpellMade,Save versus spell made.
spellEffectFailed,Spell effect failed.
spellAbsorbed,Spell was absorbed.
spellReflected,Spell was reflected.
spellResisted,Spell was resisted.
readyToLock,Ready to lock.
readyToOpen,Ready to open.
doorLocked,Door is now locked.
doorAlreadyLocked,Door already locked.
openFailed,Lock is too powerful.
noSpellbook,주문책이 없습니다!
sunlightDamageFastTravelDay,대낮에는 빠른 이동을 할 수 없습니다.
trapActive,Trap active.
trapHumanoid,Trap will not work on humanoids.
trapSuccess,소울 트랩 성공.
trapFail,소울 트랩 실패.
trapNoneEmpty,비어있는 소울젬이 없습니다!
stamina,지구력
orcStrength,Orc Strength
healing,Healing
restorePower,Restore Power
resistFire,Resist Fire
resistFrost,Resist Frost
resistShock,Resist Shock
cureDisease,Cure Disease
slowFalling,Slow Falling
healTrue,Heal True
levitation,Levitation
resistPoison,Resist Poison
curePoison,Cure Poison
chameleonForm,Chameleon Form
shadowForm,Shadow Form
purification,Purification
LeatherCuirass,Leather Cuirass
LeatherGauntlets,Leather Gauntlets
LeatherGreaves,Leather Greaves
LeatherLeftPauldron,Leather Left Pauldron
LeatherRightPauldron,Leather Right Pauldron
LeatherHelm,Leather Helm
LeatherBoots,Leather Boots
ChainCuirass,Chain Cuirass
ChainGauntlets,Chain Gauntlets
ChainGreaves,Chain Greaves
ChainLeftPauldron,Chain Left Pauldron
ChainRightPauldron,Chain Right Pauldron
ChainHelm,Chain Helm
ChainBoots,Chain Boots
SteelCuirass,Steel Cuirass
SteelGauntlets,Steel Gauntlets
SteelGreaves,Steel Greaves
SteelLeftPauldron,Steel Left Pauldron
SteelRightPauldron,Steel Right Pauldron
SteelHelm,Steel Helm
SteelBoots,Steel Boots
SteelBuckler,Steel Buckler
SteelDagger,Steel Dagger
SteelLongsword,Steel Longsword
SteelStaff,Steel Staff
ShortBow,Short Bow
Arrows,Arrows
SteelBattleAxe,Steel Battle Axe
Robes,Robes
CastWhenUsed,Cast when used:
CastWhenHeld,Cast when held:
CastWhenStrikes,Cast when strikes:
ExtraSpellPts,Extra spell pts
PotentVs,Potent vs
RegensHealth,Regens health
VampiricEffect,Vampiric effect
IncreasedWeightAllowance,Increased Weight Allowance
RepairsObjects,Repairs objects
AbsorbsSpells,Absorbs spells
EnhancesSkill,Enhances skill
FeatherWeight,Feather Weight
StrengthensArmor,Strengthens armor
ImprovesTalents,Improves talents
GoodRepWith,Good rep with
SoulBound,Soul bound
ItemDeteriorates,Item deteriorates
UserTakesDamage,User takes damage
VisionProblems,Vision problems
WalkingProblems,Walking problems
LowDamageVs,Low damage vs
HealthLeech,Health leech
BadReactionsFrom,Bad reactions from
ExtraWeight,Extra weight
WeakensArmor,Weakens armor
BadRepWith,Bad rep with
inHolyPlaces,in holy places
wheneverUsed,whenever used
unlessUsedDaily,unless used daily
unlessUsedWeekly,unless used weekly
fromHumanoids,from humanoids
fromAnimals,from animals
fromDaedra,from Daedra
duringWinter,during Winter
duringSpring,during Spring
duringSummer,during Summer
duringFall,during Fall
duringFullMoon,during Full Moon
duringHalfMoon,during Half Moon
duringNewMoon,during New Moon
nearUndead,near undead
nearDaedra,near deadra
nearHumanoids,near humanoids
nearAnimals,near animals
undeadLower,undead
humanoidLower,humanoid
animalsLower,animals
animalsUpper,Animals
allTheTime,all the time
inSunlight,in sunlight
inDarknessLower,in darkness
atRange,at range
whenStrikes,when strikes
add25Percent,25% additional
add50Percent,50% additional
hearing,hearing
athleticismLower,athleticism
adrenalineRushLower,"adrenaline rush"
commoners,Commoners
merchants,Merchants
scholars,Scholars
nobility,Nobility
underworld,Underworld
all,All
noRoomInItem,No room in item...
noEnchantments,You have not prepared enchantments for this item.
noMonstersNearby,There are no monsters nearby.
Fire,Fire
Frost,Frost
Poison,Poison
Shock,Shock
Magicka,Magicka
Animal,Animal
Undead,Undead
Humanoid,Humanoid
Daedra,Daedra
dialogButtonInfo,Switch between: Active Quests; Finished Quests; Notebook; Messages
activeQuests,Active Quests
activeQuestsInfo,Click on an active quest that has a target location to initiate travel.
finishedQuests,Finished Quests
finishedQuestsInfo,Click on an entry to move it. Right click to delete.
notebook,Notebook
notebookInfo,Click a note to move. Right click to delete. Click in-between to add a new note.
messages,Messages
messagesInfo,History of messages recently shown on screen
confirmMoveHead,Move entry
confirmMove,Do you want to change the position of this entry?
confirmMove2,(It will be moved to before the next entry clicked)
confirmRemoveHead,Delete entry
confirmRemove,Are you sure you want to remove this entry?
confirmRemove2,(It will be deleted permanently and cannot be restored)
confirmFindHead,Travel to location
confirmFind,Do you want to open the world map to travel to:
confirmFind2,(Note: you can cancel travel from the world map)
enterNote,Enter your note:
completedQuest,완료
endedQuest,실패
finishQuestHeader,{0} {1} 시간 {2}:
quest,Quest
noteHeader,{0} 장소:{1}:
houseDeed,You obtained the deeds and now own a house in %town of %region.
levelProgress,Progress made to the next level: {0}%
readMap,Discovered the location of %map after studying a map.
readMapTG,The Thieves Guild have revealed the closely guarded where-abouts of a treasure trove called %map.
readMapDB,The Dark Brotherhood revealed the secret of some treasure-laden crypts located at somewhere called %map.
readMapFail,You have already discovered the location shown by this map.
howManyItems,Pick how many items (max {0})?
wagonFullGold,Your wagon could only hold {0} gold pieces.
itemsIdentified,Items identified.
repairDone,완료
repairDays,%d 일
interruptRepair,Take back that item before it's repaired?
repairNote,Left my {0} for repair at {1}.
doesntNeedIdentify,This does not need to be identified.
goldAmount,{0} gold pieces
goldWeight,Weight: {0} kg
letterOfCredit,어음으로 대금을 받았습니다.
stealSuccess,성공했습니다.
stealFailure,실패했습니다...
cannotRemoveItem,You cannot remove this item.
cannotCarryAnymore,You cannot carry anymore stuff.
cannotHoldAnymore,Your cart cannot hold anymore stuff.
cannotUseThis,You cannot use this.
equippingWeapon,Equipping %s
lightDouse,You douse the %it.
lightLight,You light the %it.
lightDies,Your %it flickers and dies.
lightEmpty,Your %it has no fuel left.
lightRefuel,You refuel your %it with a bottle of oil.
lightFull,Your %it is full.
kgSrc,kilograms
kgRep,kg
damSrc,points of damage
damRep,damage
arSrc,armor rating
arRep,armor
northern,(northern)
southern,(southern)
noWagon,수레를 가지고 있지 않습니다.
exitTooFar,출구에서 너무 멀리 있어 수레를 쓸 수 없습니다.
bookUnavailable,The book is ruined and is now unreadable.
unknownAuthor,unknown author
cannotDeleteVamp,Cannot delete special vampire spells.
cannotDeleteWere,Cannot delete special lycanthropy spell.
noRecipes,You have no recipes.
potionMixed,Your potion has been mixed.
potionFailed,Those ingredients did not concoct an effective potion.
reqIngredients,You do not have the ingredients required.
region,Region
account,Account
loan,Loan
dueDate,Loan Due Date
noAccount,None
loanReminder,You have a loan of {0} gold pieces due in
loanReminder2,less than {0} months in {1}
classicIcons,Classic
suggestedIcons,Suggested
serviceMembersOnly,My services are reserved for members only.
serviceDonateHowMuch,Donate how much money : 
curedDisease,You are cured.
freeHolidayCuring,You are cured free from cost due to todays' holiday.
gettingQuests1,"Hmm, let me see what tasks we have available."
gettingQuests2,"Please have patience and wait here a moment, %pcf."
illegalRestWarning,It is illegal to camp in or near a city. Continue?
cannotLoiterMoreThanXHours1,You cannot loiter more
cannotLoiterMoreThanXHours2,than {0} hours at a time.
automapToolTipTextGridButton,left click: switch between 2D top view and 3D view (hotkey: {0})\rright click: reset rot. axis to player pos (hotkey: {1})\rmouse wheel up while over btn: inc. perspective (only 3D mode)\rmouse wheel down while over btn: dec. perspective (only 3D mode)
automapToolTipForwardButton,left click: move viewpoint forward (hotkey: {0})\rright click: move rotation axis forward (hotkey: {1})
automapToolTipBackwardButton,left click: move viewpoint backwards (hotkey: {0})\rright click: move rotation axis backwards (hotkey: {1})
automapToolTipLeftButton,left click: move viewpoint to the left (hotkey: {0})\rright click: move rotation axis to the left (hotkey: {1})
automapToolTipRightButton,left click: move viewpoint to the right (hotkey: {0})\rright click: move rotation axis to the right (hotkey: {1})
automapToolTipRotateLeftButton,left click: rotate dungeon to the left (hotkey: {0})\rright click: rotate camera to the left (hotkey: {1})
automapToolTipRotateRightButton,left click: rotate dungeon to the right (hotkey: {0})\rright click: rotate camera to the right (hotkey: {1})
automapToolTipUpstairsButton,left click: increase viewpoint (hotkey: {0})\rright click: increase slice level (hotkey: {1})\rslice level can also be adjusted by holding down middle mouse btn\r\rhint: different render modes may show hidden geometry:\rhotkey {2}: cutout mode\rhotkey {3}: wireframe mode\rhotkey {4}: transparent mode\rswitch between modes with return key\r
automapToolTipDownstairsButton,left click: decrease viewpoint (hotkey: {0})\rright click: decrease slice level (hotkey: {1})\rslice level can also be adjusted by holding down middle mouse btn\r\rhint: different render modes may show hidden geometry:\rhotkey {2}: cutout mode\rhotkey {3}: wireframe mode\rhotkey {4}: transparent mode\rswitch between modes with return key\r
automapToolTipPanelCompass,"left click: toggle focus (hotkey: {0})\rbeacons: red ... player, green ... entrance, blue ... rotation axis\r\rright click: reset view (hotkey: {1})\r\rdouble-click left mouse btn in window to create+edit marker note\rdouble-click left mouse btn (+Ctrl key) in window to create marker\rdouble-click left mouse btn on a marker to add/edit a note\rdouble-click right mouse btn on a marker to delete it\rdouble-click right mouse btn in window to position rotation axis\rdouble-click middle mouse btn in window to center view\rdouble-click left mouse btn on discovered portal marker to jump\rto connected teleporter portal"
automapPlayerPositionBeacon,player position beacon
automapRotationPivotAxis,rotation pivot axis
automapEntranceExitPositionBeacon,entrance/exit position beacon
automapEntranceExit,entrance/exit
automapPlayerMarker,player marker
automapTeleporterEntrance,teleporter (entrance)
automapTeleporterExit,teleporter (exit)
exteriorAutomapBuildingTypeAlchemist,Alchemist
exteriorAutomapBuildingTypeArmorer,Armorer
exteriorAutomapBuildingTypeBank,Bank
exteriorAutomapBuildingTypeBookseller,Bookseller
exteriorAutomapBuildingTypeClothingStore,Clothing Store
exteriorAutomapBuildingTypeFurnitureStore,Furniture Store
exteriorAutomapBuildingTypeGemStore,Gem Store
exteriorAutomapBuildingTypeGeneralStore,General Store
exteriorAutomapBuildingTypeGuildHall,Guild Hall
exteriorAutomapBuildingTypeHouseForSale,HouseForSale
exteriorAutomapBuildingTypeLibrary,Library
exteriorAutomapBuildingTypePalace,Palace
exteriorAutomapBuildingTypePawnShop,Pawn Shop
exteriorAutomapBuildingTypeTavern,Tavern
exteriorAutomapBuildingTypeTemple,Temple
exteriorAutomapBuildingTypeWeaponSmith,Weapon Smith
exteriorAutomapBuildingTypeUnknown,Unknown
exteriorAutomapToolTipTextGridButton,"left click: switch to next view mode (hotkey: {0})\ravailable view modes are:\r- original (hotkey {1})\r- extra: includes extra buildings (hotkey {2})\r- all: includes extra buildings, ground flats (hotkey {3})\rswitch background texture with {4}, {5}, {6}, {7}"
exteriorAutomapToolTipForwardButton,left click: move up (hotkey: {0})\rright click: move to north location border (hotkey: {1})
exteriorAutomapToolTipBackwardButton,left click: move down (hotkey: {0})\rright click: move to south location border (hotkey: {1})
exteriorAutomapToolTipLeftButton,left click: move to the left (hotkey: {0})\rright click: move to west location border (hotkey: {1})
exteriorAutomapToolTipRightButton,left click: move to the right (hotkey: {0})\rright click: move to east location border (hotkey: {1})
exteriorAutomapToolTipRotateLeftButton,left click: rotate map to the left (hotkey: {0})\rright click: rotate map around the player position\rto the left  (hotkey: {1})
exteriorAutomapToolTipRotateRightButton,left click: rotate map to the right (hotkey: {0})\rright click: rotate map around the player position\rto the right (hotkey: {1})
exteriorAutomapToolTipUpstairsButton,left click: zoom in (hotkey: {0})\rright click: apply maximum zoom)
exteriorAutomapToolTipDownstairsButton,left click: zoom out (hotkey: {0}\rright click: apply minimum zoom)
exteriorAutomapToolTipPanelCompass,left click: focus player position (hotkey: {0})\rright click: reset view (hotkey: {1})
loading,기다려 주십시오...
classicSave,클래식
cancel,취소
renameSave,이름변경
deleteSave,삭제
switchChar,캐릭터 변경
savePrompt,게임 저장
loadPrompt,게임 로드
saveButton,저장
loadButton,로드
enterSaveName,세이브 이름 입력
selectSaveName,세이브 선택
confirmDeleteSave,정말 세이브를 삭제합니까?
confirmOverwriteSave,이 세이브를 덮어 씌웁니까?
youMustEnterASaveName,세이브 이름을 입력해야 합니다.
youMustSelectASaveName,세이브 이름을 선택해야 합니다.
noSavesFound,세이브가 없습니다. 클래식 세이브를 로드합니까?
